Vrsta aktivnosti,Datum,Favorit,Naslov,Udaljenost,Kalorije,Vrijeme,Prosječni puls,Maksimalni puls,Aerobno TE,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Prosječan tempo,Najbolji tempo,Ukupni uspon,Ukupni silazak,Prosječna dužina koraka,Prosječan omjer vertikalne oscilacije,Prosječna okomita oscilacija,Prosječno vrijeme dodira s tlom,Prosječan balans za VDT,Prosječni tempo prilagođen nagibu,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Normalized Power® (NP®),Balans lijevo/desno,Training Stress Score®,Maksimalna prosječna snaga (20 min),Prosječna snaga,Maksimalna snaga,Težina,Tok,Ukupno zaveslaja,Prosječan Swolf,Prosječna brzina zaveslaja,Ukupno ponavljanja,Vrijeme ronjenja,Minimalna temperatura,Interval na površini,Dekompresija,Vrijeme najbolje dionice,Broj dionica,Maksimalna temperatura,Vrijeme kretanja,Proteklo vrijeme,Min. nadmorska visina,Maks. nadmorska visina
Trčanje,2023-11-19 13:36:59,false,"Sveti Petar u Sumi Trčanje","3.43","230","00:18:43","141","152","2.2","165","170","5:28","5:01","37","46","1.11","8.7","9.6","265","--","5:26","--","--","305","--","0.0","--","299","433","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","02:15.90","4","0.0","00:18:42","00:19:28","325","349"
Trčanje,2023-11-19 12:59:53,false,"Sveti Petar u Sumi Trčanje","6.19","383","00:24:17","172","182","3.6","174","196","3:55","3:01","68","70","1.46","7.0","10.2","223","--","3:54","--","--","414","--","0.0","--","407","526","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:36.26","7","0.0","00:24:14","00:24:17","304","348"
Trčanje,2023-11-18 13:05:20,false,"Porec Trčanje","9.44","579","00:48:04","139","158","2.9","162","173","5:06","4:13","117","127","1.19","8.3","9.8","257","--","5:03","--","--","320","--","0.0","--","315","460","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","02:20.00","10","0.0","00:47:52","00:57:02","39","100"
Trčanje,2023-11-15 15:55:46,false,"Rijeka - progresivni suicid","9.02","598","00:44:25","151","181","3.5","128","206","4:56","2:33","13","19","1.54","6.5","9.6","216","--","4:56","--","--","369","--","0.0","--","295","571","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:28.83","36","0.0","00:36:20","00:51:17","113","122"
Trčanje,2023-11-14 09:42:17,false,"Rijeka - 20min tempo","7.80","483","00:34:58","152","172","3.4","169","176","4:29","3:44","52","75","1.31","7.7","9.9","241","--","4:29","--","--","361","--","0.0","--","352","471","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:32.91","10","0.0","00:34:49","00:40:50","22","116"
Trčanje,2023-11-12 10:59:58,false,"Medulin Trčanje","6.96","420","00:26:56","171","176","3.8","174","188","3:52","3:08","24","26","1.48","6.9","10.2","221","--","3:53","--","--","418","--","0.0","--","412","516","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","03:35.99","7","0.0","00:26:54","00:26:56","4","18"
Trčanje,2023-11-11 12:19:42,false,"Porec Trčanje","8.02","501","00:39:57","139","149","3.0","166","174","4:59","4:31","32","25","1.19","8.1","9.7","253","--","4:58","--","--","323","--","0.0","--","321","409","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:04.81","9","0.0","00:39:51","00:41:16","1","14"
Trčanje,2023-11-08 12:52:37,false,"Rijeka Trčanje","6.34","400","00:31:33","146","170","3.0","166","238","4:59","3:55","175","176","1.19","8.2","9.6","252","--","4:45","--","--","357","--","0.0","--","336","497","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:36.23","7","0.0","00:31:19","00:34:35","106","222"
Trčanje,2023-11-07 17:19:04,false,"Rijeka - 5x1km","8.66","520","00:40:09","149","175","3.3","149","208","4:38","3:04","7","7","1.44","7.0","9.6","222","--","4:41","--","--","390","--","0.0","--","331","545","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:04.42","15","0.0","00:38:30","00:50:12","111","114"
Trčanje,2023-11-05 14:38:21,false,"Porec Trčanje","5.01","304","00:23:43","141","160","2.8","169","174","4:44","3:12","43","43","1.24","7.9","9.7","246","--","4:43","--","--","339","--","0.0","--","337","474","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:03.79","6","0.0","00:23:39","00:24:26","54","93"
Trčanje,2023-11-04 13:40:05,false,"Tar-Vabriga Trčanje","14.01","835","01:11:27","133","168","3.1","163","186","5:06","3:20","111","105","1.18","8.3","9.7","256","--","5:06","--","--","320","--","0.0","--","314","551","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:03.70","15","0.0","01:10:59","01:39:04","3","36"
Trčanje,2023-11-01 13:36:40,false,"Rijeka - 400m","9.02","550","00:40:01","155","178","3.5","153","221","4:26","2:59","4","6","1.41","6.6","9.0","209","--","4:23","--","--","385","--","0.0","--","332","532","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:05.39","29","0.0","00:39:20","00:45:39","115","117"
Trčanje,2023-10-31 18:46:38,false,"Rijeka Trčanje","6.26","416","00:32:54","149","174","3.1","162","175","5:15","4:07","184","204","1.16","8.4","9.6","258","--","4:57","--","--","348","--","0.0","--","321","520","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:11.12","7","0.0","00:32:36","00:37:35","103","268"
Trčanje,2023-10-29 12:33:23,false,"Porec Trčanje","12.22","766","01:02:12","142","160","3.2","167","174","5:05","4:34","98","105","1.17","8.3","9.6","256","--","5:04","--","--","318","--","0.0","--","314","439","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:09.02","13","0.0","01:02:07","01:13:48","5","31"
Trčanje,2023-10-26 16:40:50,false,"Rijeka Trčanje","7.28","439","00:36:30","136","149","2.7","165","173","5:01","4:19","81","106","1.19","8.2","9.8","255","--","4:59","--","--","329","--","0.0","--","322","454","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:28.60","8","0.0","00:36:21","00:40:48","46","133"
Trčanje,2023-10-25 16:03:02,false,"Rijeka - 800m","7.34","450","00:33:31","153","178","3.4","142","192","4:34","3:01","18","24","1.54","6.5","9.6","209","--","4:34","--","--","390","--","0.0","--","322","504","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:02.42","15","0.0","00:30:58","00:34:53","115","122"
Trčanje,2023-10-24 08:47:29,false,"Rijeka Trčanje","7.02","450","00:34:54","149","173","3.2","166","174","4:58","4:09","167","166","1.20","8.2","9.8","254","--","4:49","--","--","353","--","0.0","--","337","476","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:08.21","8","0.0","00:34:50","00:37:34","93","231"
Trčanje,2023-10-21 11:26:11,false,"Porec Trčanje","6.01","378","00:29:08","145","160","3.0","166","171","4:51","4:10","53","55","1.23","8.1","9.9","252","--","4:49","--","--","335","--","0.0","--","332","427","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:05.13","7","0.0","00:29:07","00:29:24","54","95"
Trčanje,2023-10-18 18:14:00,false,"Rijeka - 5x1km","8.31","529","00:43:40","149","179","3.3","133","192","5:15","2:48","35","21","1.43","6.9","9.3","220","--","5:11","--","--","374","--","0.0","--","287","559","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:56.37","13","0.0","00:37:56","00:45:51","108","129"
Trčanje,2023-10-17 18:42:05,false,"Rijeka Trčanje","8.25","540","00:42:46","150","179","3.4","166","176","5:11","4:40","206","215","1.16","8.3","9.7","258","--","4:58","--","--","350","--","0.0","--","329","492","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:15.03","9","0.0","00:42:42","00:43:54","107","205"
Trčanje,2023-10-15 11:51:50,false,"Porec Trčanje","12.09","760","00:59:00","147","166","3.5","167","182","4:53","4:09","82","126","1.22","8.1","9.9","252","--","4:54","--","--","335","--","0.0","--","331","462","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:30.11","13","0.0","00:58:56","01:20:07","4","115"
Trčanje,2023-10-12 17:46:19,false,"Rijeka Trčanje","5.01","308","00:25:36","138","154","2.6","165","229","5:07","4:17","91","94","1.18","8.3","9.8","258","--","4:59","--","--","334","--","0.0","--","328","431","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:03.34","6","0.0","00:25:30","00:26:34","89","168"
Trčanje,2023-10-11 18:00:41,false,"Rijeka - 400m","9.06","586","00:47:11","149","184","3.4","134","210","5:13","2:26","5","9","1.41","6.9","9.0","221","--","5:12","--","--","362","--","0.0","--","279","606","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:10.24","28","0.0","00:43:38","00:49:45","113","122"
Trčanje,2023-10-10 06:13:39,false,"Rijeka Trčanje","7.19","439","00:35:14","145","171","3.2","165","176","4:54","4:07","159","164","1.23","8.1","10.0","255","--","4:48","--","--","358","--","0.0","--","337","527","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:56.46","8","0.0","00:35:09","00:39:13","107","156"
Trčanje,2023-10-07 10:05:41,false,"Porec Trčanje","4.02","263","00:20:51","145","155","2.7","167","173","5:11","4:44","47","44","1.15","8.4","9.6","258","--","5:08","--","--","320","--","0.0","--","314","407","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:06.63","5","0.0","00:20:49","00:20:57","92","138"
Trčanje,2023-10-05 16:51:44,false,"Rijeka - 5x1km","10.02","601","00:50:36","149","181","3.5","139","191","5:03","2:54","5","12","1.43","7.0","9.4","223","--","5:02","--","--","369","--","0.0","--","297","511","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:37.83","15","0.0","00:47:24","00:54:32","115","122"
Trčanje,2023-10-03 18:21:00,false,"Rijeka Trčanje","7.38","381","00:36:30","140","152","2.5","164","171","4:57","4:02","77","101","1.23","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","25.0","0:00","Ne","01:53.53","8","29.0","00:36:24","00:41:15","45","131"
Trčanje,2023-09-30 15:34:24,false,"Sveti Lovrec Trčanje","14.76","1,049","01:57:58","141","174","3.0","118","244","7:59","4:19","227","288","1.04","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","27.0","0:00","Ne","00:05.39","16","32.0","01:47:45","01:57:58","31","118"
Biciklizam,2023-09-30 11:05:50,false,"Gracisce Biciklizam","51.99","1,111","05:16:19","0","0","--","--","--","9.9","78.2","444","799","0.00","0.0","0.0","0","--","--","60","105","143","47 % L / 53 % D","267.5","129","65","591","0.0","0.0","6622","0","0","0","0:00","23.0","0:00","Ne","05:16:18.97","1","29.0","02:53:43","34:42:56","-35","350"
Trčanje,2023-09-30 09:21:19,false,"Pazin Trčanje","21.91","1,312","02:10:59","153","175","3.9","114","223","5:59","1:33","469","351","3.48","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","Ne","02:20.54","22","35.0","02:00:56","02:10:59","240","458"
Trčanje,2023-09-27 18:17:14,false,"Porec Trčanje","7.05","396","00:31:23","157","179","3.1","168","215","4:27","3:17","64","66","1.33","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","26.0","0:00","Ne","00:13.19","8","30.0","00:31:20","00:43:32","33","88"
Biciklizam,2023-09-25 18:12:11,false,"Porec Biciklizam","20.65","591","01:06:54","130","149","2.4","--","--","18.5","38.5","179","185","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","22.0","0:00","Ne","04:58.45","5","29.0","01:04:18","01:11:29","39","184"
Trčanje,2023-09-23 13:06:00,false,"Porec Trčanje","10.45","545","00:56:59","139","157","2.7","159","170","5:27","4:31","85","94","1.15","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","28.0","0:00","Ne","02:10.95","11","31.0","00:56:45","01:18:36","57","133"
Trčanje,2023-09-21 18:48:20,false,"Porec Trčanje","3.08","157","00:14:21","140","153","2.2","165","170","4:40","4:18","3","55","1.30","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","25.0","0:00","Ne","00:20.44","4","29.0","00:14:17","00:14:21","34","89"
Trčanje,2023-09-20 18:20:00,false,"Kastelir-Labinci Trčanje","6.81","560","00:42:48","161","181","4.0","158","189","6:17","4:37","307","308","1.01","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","27.0","0:00","Ne","04:55.42","7","31.0","00:42:42","00:44:33","9","169"
Biciklizam,2023-09-19 18:34:23,false,"Porec Biciklizam","20.79","635","01:00:40","0","0","--","--","--","20.6","43.4","237","243","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","20.0","0:00","Ne","01:00:40.06","1","29.0","01:00:08","01:02:21","4","97"
Trčanje,2023-09-15 19:22:19,false,"Tinjan Trčanje","6.70","374","00:36:42","137","151","2.3","163","171","5:29","4:25","76","70","1.12","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","24.0","0:00","Ne","04:17.36","7","29.0","00:36:40","00:37:41","257","320"
Trčanje,2023-09-14 19:17:32,false,"Porec Trčanje","7.15","419","00:40:34","139","148","2.3","163","170","5:40","5:05","55","61","1.08","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","27.0","0:00","Ne","00:52.13","8","31.0","00:40:31","00:42:23","81","133"
Trčanje,2023-09-12 18:58:27,false,"Porec Trčanje","3.38","176","00:18:05","129","141","1.8","164","168","5:21","4:28","8","60","1.14","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","26.0","0:00","Ne","02:00.67","4","30.0","00:18:05","00:18:05","36","89"
Trčanje,2023-09-09 09:00:16,false,"Moscenicka Draga Trčanje","30.92","2,545","04:34:04","154","174","4.2","128","245","8:52","4:25","1,413","1,408","0.87","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","26.0","0:00","Ne","05:27.55","31","35.0","04:29:42","04:34:20","13","1,016"
Trčanje,2023-09-08 19:59:11,false,"Porec Trčanje","4.01","252","00:23:14","137","148","2.1","161","168","5:48","4:39","45","43","1.07","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","26.0","0:00","Ne","00:03.53","5","31.0","00:23:11","00:23:38","84","130"
Trčanje,2023-09-05 19:20:38,false,"Porec Trčanje","6.46","355","00:36:45","130","145","2.0","162","170","5:41","4:24","61","63","1.08","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","23.0","0:00","Ne","02:42.36","7","29.0","00:36:43","01:06:08","32","88"
Trčanje,2023-09-03 19:38:36,false,"Porec Trčanje","6.07","397","00:31:54","147","158","2.9","165","170","5:15","4:19","98","21","1.16","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","25.0","0:00","Ne","00:20.12","7","28.0","00:31:50","00:32:02","6","87"
Trčanje,2023-09-03 18:08:07,false,"Porec Trčanje","6.30","375","00:29:23","148","161","3.0","166","174","4:40","4:05","20","104","1.29","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","28.0","0:00","Ne","01:27.32","7","31.0","00:29:20","00:29:36","1","90"
Trčanje,2023-08-31 19:42:59,false,"Porec Trčanje","5.02","294","00:22:27","152","172","3.1","166","171","4:29","4:03","42","46","1.35","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","24.0","0:00","Ne","00:04.95","6","31.0","00:22:22","00:22:37","48","88"
Trčanje,2023-08-29 19:20:04,false,"Porec Trčanje","6.81","377","00:28:06","160","175","3.2","168","180","4:08","3:30","70","67","1.44","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","23.0","0:00","Ne","03:15.91","7","30.0","00:28:04","00:46:21","31","103"
Trčanje,2023-08-27 19:21:04,false,"Porec Trčanje","13.01","837","01:07:05","154","167","3.5","165","176","5:09","4:12","122","127","1.17","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","29.0","0:00","Ne","00:04.11","14","31.0","01:06:59","01:11:25","3","107"
Biciklizam,2023-08-26 19:06:23,false,"Porec Biciklizam","20.73","622","01:00:01","0","0","--","--","--","20.7","42.4","214","218","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","23.0","0:00","Ne","01:00:01.10","1","27.0","00:59:49","01:11:44","62","202"
Trčanje,2023-08-24 19:52:12,false,"Porec Trčanje","8.70","552","00:44:04","150","161","3.2","164","172","5:04","4:13","68","72","1.20","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","30.0","0:00","Ne","03:32.42","9","33.0","00:43:59","00:45:27","84","128"
Trčanje,2023-08-22 19:12:31,false,"Porec Trčanje","7.13","440","00:35:55","145","159","2.6","164","170","5:02","4:24","64","65","1.21","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","29.0","0:00","Ne","00:39.12","8","32.0","00:35:52","01:19:28","34","89"
Biciklizam,2023-08-19 22:02:37,false,"Bale Biciklizam","22.96","757","01:06:12","0","0","--","--","--","20.8","41.4","271","263","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","22.0","0:00","Ne","01:06:11.68","1","25.0","01:05:50","01:07:04","124","147"
Biciklizam,2023-08-19 21:17:47,false,"Bale Biciklizam","6.61","192","00:24:28","0","0","--","--","--","16.2","33.6","78","80","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","22.0","0:00","Ne","24:28.44","1","23.0","00:23:44","00:26:44","125","147"
Biciklizam,2023-08-18 19:20:50,false,"Porec Biciklizam","16.60","481","00:49:04","0","0","--","--","--","20.3","39.6","149","151","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","23.0","0:00","Ne","49:04.15","1","32.0","00:48:45","01:13:14","-8","98"
Trčanje,2023-08-13 19:18:44,false,"Porec Trčanje","16.00","905","01:20:36","148","159","3.2","165","172","5:02","4:28","142","139","1.20","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","29.0","0:00","Ne","00:00.70","17","32.0","01:20:30","01:23:48","50","188"
Biciklizam,2023-08-12 19:20:29,false,"Porec Biciklizam","22.07","655","00:59:39","0","0","--","--","--","22.2","38.8","189","191","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","20.0","0:00","Ne","59:38.57","1","24.0","00:59:03","01:01:41","36","187"
Trčanje,2023-08-10 19:54:23,false,"Porec Trčanje","7.00","411","00:32:28","148","168","2.6","168","222","4:38","4:04","66","66","1.29","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","24.0","0:00","Ne","00:02.92","8","29.0","00:32:25","01:02:46","32","88"
Biciklizam,2023-08-09 19:19:53,false,"Porec Biciklizam","19.23","556","00:56:08","0","0","--","--","--","20.6","37.8","184","187","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","18.0","0:00","Ne","56:07.100","1","22.0","00:55:53","01:01:22","-22","80"
Trčanje,2023-08-08 19:59:14,false,"Porec Trčanje","8.77","495","00:39:54","150","165","3.2","165","173","4:33","3:57","72","77","1.34","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","25.0","0:00","Ne","03:22.33","9","30.0","00:39:48","00:43:02","86","131"
Trčanje,2023-08-06 15:49:09,false,"Porec Trčanje","15.52","885","01:14:21","150","164","3.3","167","173","4:47","3:54","122","131","1.25","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","24.0","0:00","Ne","02:21.41","16","30.0","01:14:12","01:16:36","-1","88"
Biciklizam,2023-08-05 19:00:02,false,"Porec Biciklizam","17.32","522","00:48:56","0","0","--","--","--","21.2","37.4","168","170","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","18.0","0:00","Ne","48:56.07","1","29.0","00:48:39","01:30:09","1","110"
Trčanje,2023-08-03 20:14:56,false,"Tinjan Trčanje","7.41","418","00:36:32","142","159","2.9","165","171","4:56","4:10","77","78","1.23","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","29.0","0:00","Ne","02:09.17","8","31.0","00:36:29","00:38:25","258","318"
Biciklizam,2023-08-02 19:12:20,false,"Porec Biciklizam","24.32","750","01:12:14","0","0","--","--","--","20.2","45.1","271","268","0.00","0.0","0.0","0","--","--","72","101","218","49 % L / 51 % D","184.4","200","174","654","0.0","0.0","4671","0","0","0","0:00","21.0","0:00","Ne","01:12:14.06","1","29.0","01:10:16","01:13:56","55","228"
Trčanje,2023-08-01 20:32:10,false,"Porec Trčanje","7.21","420","00:33:26","150","170","3.3","167","177","4:38","4:00","73","81","1.29","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","28.0","0:00","Ne","01:06.91","8","32.0","00:33:24","00:33:41","45","88"
Trčanje,2023-07-30 19:02:47,false,"Porec Trčanje","13.01","748","01:05:21","145","157","2.9","166","173","5:01","4:12","133","132","1.20","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","26.0","0:00","Ne","00:04.89","14","31.0","01:05:15","01:53:51","28","107"
